Antall;Faregrad;Skredproblem;Skredutløser;Svakt lag;Skredtype;Hovedbudskap norsk
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Lokalt ustabile forhold. Vær forsiktig i leområder med fokksnø. Det finnes lommer med svake lag under den vindtransporterte snøen.;Locally unstable conditions. Be careful in areas with fresh wind deposited snow. Be aware that there can be pockets with persistent weak layer beneath wind deposited snow.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø over skarelag (1);Tørre flakskred (2);Lokalt ustabile forhold. Vær forsiktig i leområder med mye fokksnø, særlig i eller nært terrengfeller. Det finnes områder med vedvarende svake lag i snødekket.;Locally unstable conditions. Be aware that there can be pockets with persistent weak layers and unstable wind slabs.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Lokalt ustabile forhold. Vær forsiktig i leområder og andre terrengformasjoner hvor vinden legger fra seg snø.;Be careful in lee areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Persistent weak layers can be triggered with very high additional loads, e.g. a snow mobile. There is a lot of new, fresh snow that may form wind slabs in lee areas if the wind increases.
1;Fg3 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Lokalt ustabile forhold. Vær forsiktig i områder med fokksnø i høyden og indre deler av regionen. Generelt stabile forhold i lavlandet.;Locally unstable conditions. Be careful in areas with windslabs in the alpine and inner parts of the region. Generally stable conditions in low-lying.
1;Fg3 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Lokalt ustabile forhold. Vær forsiktig i områder med fokksnø i høyden.;Locally unstable conditions. Be careful in areas with windslabs in the alpine.
2;Fg2 (2);Fokksnø (2), Vedvarende svakt lag (2);Liten tilleggsbelastning (4);Nedføyket svakt lag med nysnø (2), Kantkornet snø over skarelag (2);Tørre flakskred (4);Lokalt ustabile forhold. Vær varsom i leområder med fersk fokksnø, særlig i eller nært terrengfeller. Det finnes områder med vedvarende svake lag i snødekket.;Locally unstable conditions. Be careful in areas with fresh wind deposited snow. A persistant weak layer of facets may be present in the snow pack.
8;Fg2 (8);Vedvarende svakt lag (8), Nysnøflak (3);Liten tilleggsbelastning (11);Nedsnødd eller nedføyket overflaterim (8), Nedføyket svakt lag med nysnø (3);Tørre flakskred (11);Lokalt ustabile forhold. Vær varsom i områder hvor overflaterim kan ha snødd eller føyket ned.;Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Wind deposited snow could rest on a weak layer of buried surface hoar.
1;Fg2 (1);Fokksnø (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Lokalt ustabile forhold. Vær varsom i områder med fokksnø.;Be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. A persistent weak layer is lingering in the snowpack, but not reactive.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Lokalt ustabile forhold. Vær varsom i områder med nysnøflak.;Generally stable conditions, but be careful in steep terrain, especially where wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. A persistent weak layer is lingering in the snowpack, but not reactive.
4;Fg2 (4);Våte løssnøskred  (4), Våte flakskred (4);Naturlig utløst (8);Ubunden snø (4), Kantkornet snø under skarelag (4);Våte løssnøskred  (4), Våte flakskred (4);Mangel på nattefrost og milde temperaturer gir fare for våte skred.;The lack of refreezing overnight and high daytime temperatures may cause some naturally released avalanches.
3;Fg2 (3);Våte løssnøskred  (2), Våte flakskred (2), Glideskred (2);Naturlig utløst (5), Liten tilleggsbelastning (1);Ubunden snø (2), Kantkornet snø under skarelag (2), Vann ved bakken/smelting fra bakken (2);Våte flakskred (4), Våte løssnøskred  (2);Mangel på nattefrost og milde temperaturer gir fare for våte skred. Vær forsiktig i løsneområder og utløpsområder.;The lack of refreezing overnight and high daytime temperatures may cause some naturally released avalanches.
1;Fg2 (1);Våte løssnøskred  (1);Naturlig utløst (1);Ubunden snø (1);Våte løssnøskred  (1);Mangel på nattefrost og påfølgende milde temperaturer øker faren for våte skred.;Wet snow through the night and high temperature at daytime increases the danger of wet avalanches.
1;Fg3 (1);Vedvarende svakt lag (1), Våte løssnøskred  (1);Liten tilleggsbelastning (1), Naturlig utløst (1);Kantkornet snø under skarelag (1), Ubunden snø (1);Tørre flakskred (1), Våte løssnøskred  (1);Milde temperaturer og sol øker faren for våte skred. Det blir også lettere å påvirke svake lag.;High temperature elevates the danger of wet avalanches. Be careful with recently formed wind slabs at high elevations. Remember to use slightly different approaches on wet and dry snow. Persistent weak layers will be easier to trigger due to softer snow on top.
6;Fg3 (6);Våte flakskred (6), Våte løssnøskred  (6);Naturlig utløst (12);Nedsnødd eller nedføyket kantkornet snø (6), Ubunden snø (6);Våte flakskred (6), Våte løssnøskred  (6);Mildvær fører til økende skredfare utover dagen. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred. Lokale variasjoner.;High temperature leads to higher avalanche danger. A weak layer in the snow pack can now become more active. Avoid awalanche terrain, espesially when the temperatures are high and on sunny slopes.
3;Fg3 (3);Våte flakskred (3), Våte løssnøskred  (3);Naturlig utløst (6);Nedsnødd eller nedføyket kantkornet snø (3), Ubunden snø (3);Våte flakskred (3), Våte løssnøskred  (3);Mildvær fører til økende skredfare utover dagen. Gamle svake lag vekkes til live og øker faren for naturlig utløste skred når dagen er på det varmeste.;High temperature leads to increasing avalanche danger throughout the day. Weak layers in the snow pack can become more active. Avoid avalanche terrain, especially when the temperatures are high and on sunny slopes.
3;Fg3 (3);Våte flakskred (3), Våte løssnøskred  (3);Naturlig utløst (6);Nedsnødd eller nedføyket kantkornet snø (3), Ubunden snø (3);Våte flakskred (3), Våte løssnøskred  (3);Mildvær fører til økende skredfare utover dagen. Gamle svake lag vekkes til live og øker faren for naturlig utløste skred.;High temperature leads to increasing avalanche danger throughout the day. Weak layers in the snow pack can become more active. Avoid awalanche terrain, espesially when the temperatures are high and on sunny slopes.
1;Fg4 (1);Våte flakskred (1), Vedvarende svakt lag (1), Fokksnø (1);Naturlig utløst (3);Kantkornet snø over skarelag (2), Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (2), Våte flakskred (1);Mildvær og mye regn fører til økende skredfare. Flak av ustabil fokksnø i høyden. Det finnes svake lag i snødekket. Skalvbrudd kan også ventes.;Increasing temperatures and heavy rain leads to higher avalanche danger. Isolated terrain feature in the alpine may hold unstable wind slabs. A weak layer deep in the snow pack can now become more active. Be aware of decreased instability in cornices. Natural released avalanches are expected.
4;Fg4 (4);Våte flakskred (4), Våte løssnøskred  (4), Nysnøflak (4);Naturlig utløst (8), Liten tilleggsbelastning (4);Kantkornet snø under skarelag (4), Ubunden snø (4), Nedføyket svakt lag med nysnø (4);Våte flakskred (4), Våte løssnøskred  (4), Tørre flakskred (4);Mildvær og regn fører til økt skredfare. Noen store naturlig utløste skred kan forventes. Unngå opphold i skredterreng og utløpssoner.;Rising temperatures and rain will lead to increased avalanche hazard. There are well-defined persistent weak layers buried in the snowpack that can cause large avalanches. Keep good distance to avalanche terrain and run out zones for wet avalanches.
4;Fg4 (4);Våte flakskred (4), Fokksnø (4);Naturlig utløst (4), Liten tilleggsbelastning (4);Opphopning av vann i/over lag i snødekket (4), Nedføyket svakt lag med nysnø (4);Våte flakskred (4), Tørre flakskred (4);Mildvær svekker snødekket i lavlandet. Naturlig utløste skred ventes. Ustabil fokksnø i høyden.;Rising temperatures and rain will weaken the snow pack. Naturally released avalanches are expected, mostly at lower elevations and in the outer parts of the region. In the alpine the wind slabs will remain unstable.
1;Fg4 (1);Våte flakskred (1), Fokksnø (1);Naturlig utløst (1), Liten tilleggsbelastning (1);Nedsnødd eller nedføyket overflaterim (1), Nedføyket svakt lag med nysnø (1);Våte flakskred (1), Tørre flakskred (1);Mildvær svekker snødekket og kan overlaste vedvarende svake lag. Ustabile områder med fokksnø i fjellet. Naturlig utløste skred ventes.;Rising temperatures and rain will weaken the snow pack. Naturally released avalanches are expected, mostly at lower elevations and in the outer parts of the region. In the alpine the wind slabs will remain unstable.
6;Fg3 (6);Våte flakskred (6), Vedvarende svakt lag (6), Nysnøflak (4), Fokksnø (2);Liten tilleggsbelastning (10), Naturlig utløst (6), Stor tilleggsbelastning (2);Opphopning av vann i/over lag i snødekket (6), Nedsnødd eller nedføyket kantkornet snø (6), Nedføyket svakt lag med nysnø (6);Tørre flakskred (12), Våte flakskred (6);Mildvær svekker stabiliteten til snødekket. Over mildværgrensa kan nysnøflak og vedvarande svake lag påverkast. Ferdsel i skredterreng frårådast.;Increased temperatures and rain will weaken the stability og the snow cover below 1100 masl. Persistant weak layers and wind slabs can be affected above this. Avoid avalanche terrain.
1;Fg3 (1);Vedvarende svakt lag (1), Våte flakskred (1), Nysnøflak (1);Liten tilleggsbelastning (2), Naturlig utløst (1);Nedsnødd eller nedføyket kantkornet snø (2), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2), Våte flakskred (1);Mildværet trekker høyere opp i fjellet. Svake lag i snødekket gir en komplisert situasjon som kan føre til skred, både naturlig utløste og fjernutløste.;Complicated situation with snow melt up to at least 900 m a.s.l and persistent weak layers in the snow pack. The wind is picking up in the evening, and wind slabs may form where fresh snow is present on the ground. Avalanches may be released both naturally and remotely.
2;Fg4 (2);Nysnøflak (2), Våte flakskred (2), Våte løssnøskred  (1);Naturlig utløst (5);Nedføyket svakt lag med nysnø (2), Opphopning av vann i/over lag i snødekket (2), Ubunden snø (1);Tørre flakskred (2), Våte flakskred (2), Våte løssnøskred  (1);Mildvêr, vind og mykje nedbør fører til auka skredfare. Unngå opphald i skredterreng. Nokre vegstrekningar kan være utsett.;Rising temperatures, wind and heavy precipitation will lead to increased avalanche hazard. Stay away from all avalanche terrain. Some roads might be vulnerable.
1;Fg2 (1);Vedvarende svakt lag (2), Fokksnø (1);Stor tilleggsbelastning (2), Naturlig utløst (1);Nedsnødd eller nedføyket kantkornet snø (2), Nedføyket svakt lag med nysnø (1);Tørre flakskred (3);Mildvêret trekk lenger opp i fjellet. Svake lag i snødekket gir ein komplisert situasjon som kan føre til enkelt skred, både naturleg utløyste og fjernutløyste.;Complicated situation with snow melt up to at least 800 m a.s.l and persistent weak layers in the snow pack. The wind is picking up in the evening, and wind slabs may form where fresh snow is present on the ground. Avalanches may be released both naturally and remotely.
1;Fg2 (1);Våte flakskred (1), Vedvarende svakt lag (1), Fokksnø (1);Stor tilleggsbelastning (2), Naturlig utløst (1);Nedsnødd eller nedføyket kantkornet snø (2), Nedføyket svakt lag med nysnø (1);Tørre flakskred (2), Våte flakskred (1);Mildvêret trekk lenger opp i fjellet. Svake lag i snødekket gir ein komplisert situasjon som kan føre til skred, både naturleg utløyste og fjernutløyste.;Complicated situation with snow melt up to at least 800 m a.s.l and persistent weak layers in the snow pack. The wind is picking up in the evening, and wind slabs may form where fresh snow is present on the ground. Avalanches may be released both naturally and remotely.
4;Fg3 (4);Vedvarende svakt lag (4), Våte flakskred (4), Fokksnø (4);Liten tilleggsbelastning (8), Naturlig utløst (4);Nedsnødd eller nedføyket kantkornet snø (8), Nedføyket svakt lag med nysnø (4);Tørre flakskred (8), Våte flakskred (4);Mildvêret trekk lenger opp i fjellet. Svake lag i snødekket gir ein komplisert situasjon som kan føre til store skred, både naturleg utløyste og fjernutløyste.;Complicated situation with snow melt up to at least 1100 m a.s.l and persistent weak layers in the snow pack. The wind is picking up in the evening, and wind slabs may form where fresh snow is present on the ground. Avalanches may be released both naturally and remotely.
1;Fg2 (1);Fokksnø (1);Liten tilleggsbelastning (1);Dårlig binding mellom lag i fokksnøen (1);Tørre flakskred (1);Mindre flak av fokksnø kan utløses enkelte steder. Utbredelsen er begrenset da det generelt er lite snø i fjellet.;Smaller slabs of wind deposited snow can be triggered in isolated features.
2;Fg2 (2);Vedvarende svakt lag (4);Liten tilleggsbelastning (2), Stor tilleggsbelastning (2);Nedsnødd eller nedføyket overflaterim (2), Kantkornet snø over skarelag (2);Tørre flakskred (4);Mulighet for overflaterim som snør ned. Dette kan gi lokalt ustabile forhold.;Mainly stable snow conditions. Possible surface hoar burried by new snow during the day. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1;Fg2 (1);Glideskred (1), Fokksnø (1);Naturlig utløst (2);Vann ved bakken/smelting fra bakken (1), Dårlig binding mellom lag i fokksnøen (1);Våte flakskred (1), Tørre flakskred (1);Mye fuktighet i snødekket gjør at det fortsatt kan gå naturlige våte skred. Vær varsom i områder med ferske fokksnøflak i høyfjellet.;Wet avalanches can occur due to water in the snow caused by rain and high temperatures. Conservative terrain choice is essential on freshly loaded storm slabs in the alpine.
6;Fg2 (6);Våte løssnøskred  (6), Vedvarende svakt lag (5), Våte flakskred (1);Naturlig utløst (12);Kantkornet snø under skarelag (6), Ubunden snø (6);Våte løssnøskred  (6), Tørre flakskred (5), Våte flakskred (1);Mye fuktighet i snødekket gjør at det kan gå naturlige våte løssnø-og flakskred.;Wet avalanches can release due to rain and high temperatures. Persistent weak layers buried in the snow will be easier to trigger and can cause medium large avalanches.
1;Fg2 (1);Vedvarende svakt lag (1), Våte løssnøskred  (1);Stor tilleggsbelastning (1), Naturlig utløst (1);Kantkornet snø under skarelag (1), Ubunden snø (1);Tørre flakskred (1), Våte løssnøskred  (1);Mye fuktighet i snødekket gjør at det kan gå naturlige våte løssnø-og flakskred. Hold avstand til bratt terreng og utløpssoner.;Wet avalanches can release due to rain and high temperatures. Persistent weak layers buried in the snow will be easier to trigger and can cause medium large avalanches. Remote triggering is possible. Keep good distance to avalanche terrain and run out zones for wet avalanches.
8;Fg2 (8);Våte løssnøskred  (8), Nysnøflak (5), Våte flakskred (3);Naturlig utløst (11), Liten tilleggsbelastning (5);Ubunden snø (8), Nedføyket svakt lag med nysnø (5), Kantkornet snø under skarelag (2), Nedsnødd eller nedføyket kantkornet snø (1);Våte løssnøskred  (8), Tørre flakskred (5), Våte flakskred (3);Mye fuktighet i snødekket gjør at det kan gå naturlige våte løssnø-og flakskred. Vær varsom i områder med ferske nysnøflak i høyfjellet.;Wet avalanches can occur due to water in the snow caused by rain and high temperatures. Conservative terrain choice is essential on freshly loaded storm slabs in the alpine.
1;Fg2 (1);Våte flakskred (1), Våte løssnøskred  (1), Fokksnø (1);Naturlig utløst (2), Stor tilleggsbelastning (1);Nedsnødd eller nedføyket kantkornet snø (1), Ubunden snø (1), Nedføyket svakt lag med nysnø (1);Våte flakskred (1), Våte løssnøskred  (1), Tørre flakskred (1);Mye fuktighet i snødekket gjør at det kan gå naturlige våte løssnø-og flakskred. Vær varsom i områder med fokksnøflak i høyfjellet.;Wet avalanches can occur due to water in the snow caused by rain and high temperatures. Conservative terrain choice is essential on freshly loaded storm slabs in the alpine.
2;Fg3 (2);Nysnøflak (2);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Mykje fersk vindtransportert snø i fjellet gjer at det framleis finst ustabile nysnøflak. Desse er lettast å påvirke der flaka er tynne og mjuke.;Considerable amounts of storm slabs after heavy snowfall and wind previously this week. These are most sensitive to triggers where the slabs are soft and thin.
3;Fg4 (3);Vedvarende svakt lag (3), Fokksnø (3);Naturlig utløst (6);Nedsnødd eller nedføyket kantkornet snø (3), Nedføyket svakt lag med nysnø (3);Tørre flakskred (6);Mykje nysnø og vind dannar fokksnøflak i leheng, og desse kan ligge på svake lag av kantkorn. Det kan gå store naturlege skred. Unngå alt skredterreng.;Alot of new snow and wind will form wind slabs in le areas. These can be on top of weak layers of facet snow.Naturally triggered avalanches are likely. Avoid all avalanche terrain.
2;Fg3 (2);Våte løssnøskred  (2), Våte flakskred (2), Glideskred (2);Naturlig utløst (6);Ubunden snø (2), Opphopning av vann i/over lag i snødekket (2), Vann ved bakken/smelting fra bakken (2);Våte flakskred (4), Våte løssnøskred  (2);Mykje vatn i snøen og høge temperaturar gjer at det kan gå naturlege våte laussnø-, flak-og glideskred.;Wet avalanches can occur due to water in the snow and high temperatures.
2;Fg3 (1), Fg2 (1);Våte løssnøskred  (2), Våte flakskred (2), Glideskred (1);Naturlig utløst (5);Ubunden snø (2), Nedsnødd eller nedføyket kantkornet snø (2), Vann ved bakken/smelting fra bakken (1);Våte flakskred (3), Våte løssnøskred  (2);Mykje vatn i snøen og høge temperaturar gjer at det kan gå naturlege våte laussnø-og flakskred.;Wet avalanches can occur due to water in the snow and high temperatures.
4;Fg3 (4);Våte løssnøskred  (4), Våte flakskred (4), Glideskred (4);Naturlig utløst (12);Ubunden snø (4), Opphopning av vann i/over lag i snødekket (4), Vann ved bakken/smelting fra bakken (4);Våte flakskred (8), Våte løssnøskred  (4);Mykje vatn i snøen som følge av høge temperaturar og regn gjer at det kan gå naturlege våte laussnø-, flak-og glideskred.;Wet avalanches can occur due to accumulation of water in the snow caused by rain and high temperatures.
2;Fg3 (2);Våte løssnøskred  (2), Våte flakskred (2), Glideskred (2);Naturlig utløst (6);Ubunden snø (2), Opphopning av vann i/over lag i snødekket (2), Vann ved bakken/smelting fra bakken (2);Våte flakskred (4), Våte løssnøskred  (2);Mykje vatn i snøen som følge av høge temperaturar og regn gjer at det kan gå naturlege våte laussnø-og flakskred.;Wet avalanches can occur due to water in the snow caused by rain and high temperatures.
1;Fg3 (1);Våte løssnøskred  (1), Våte flakskred (1);Naturlig utløst (2);Ubunden snø (1), Nedsnødd eller nedføyket kantkornet snø (1);Våte løssnøskred  (1), Våte flakskred (1);Mykje vatn i snøen som følge av høge temperaturar og regn, gjer at det kan gå naturlege våte laussnø-og flakskred.;Wet avalanches can occur due to water in the snow caused by high temperatures and rain.
1;Fg2 (1);Våte løssnøskred  (1), Våte flakskred (1), Glideskred (1);Naturlig utløst (3);Ubunden snø (1), Nedsnødd eller nedføyket kantkornet snø (1), Vann ved bakken/smelting fra bakken (1);Våte flakskred (2), Våte løssnøskred  (1);Mykje vatn i snøen, som følge av høge temperaturar og regn, gjer at det kan gå naturlege våte laussnø-og flakskred.;Wet avalanches can occur due to water in the snow caused by high temperatures and rain.
1;Fg3 (1);Vedvarende svakt lag (2), Fokksnø (1);Liten tilleggsbelastning (2), Stor tilleggsbelastning (1);Kantkornet snø over skarelag (1), Nedsnødd eller nedføyket overflaterim (1), Nedføyket svakt lag med nysnø (1);Tørre flakskred (3);NB! Oppdatert kveld 20. 1. : Krevende forhold med flere svake lag. Vær spesielt forsiktig i leområder hvor vedvarende svake lag kan ligge under fersk fokksnø.;Updated evening Jan 20th!:Demanding conditions with several avalanche problems. Be especilally careful in areas where persistant weak layers can be hidden beneath fresh wind deposited snow.
2;Fg3 (2);Vedvarende svakt lag (2), Våte løssnøskred  (2);Naturlig utløst (4);Kantkornet snø under skarelag (2), Ubunden snø (2);Tørre flakskred (2), Våte løssnøskred  (2);NB! Oppdatert varsel: Sol og mildvær kan gi naturlig utløste våte skred. Det blir også lettere å påvirke svake lag.;High temperature elevates the danger of wet avalanches. Be careful with recently formed wind slabs at high elevations. Remember to use slightly different approaches on wet and dry snow. Persistent weak layers will be easier to trigger due to softer snow on top.
4;Fg3 (4);Vedvarende svakt lag (4), Våte løssnøskred  (4), Fokksnø (4);Naturlig utløst (9), Liten tilleggsbelastning (3);Kantkornet snø under skarelag (4), Ubunden snø (4), Nedføyket svakt lag med nysnø (4);Tørre flakskred (8), Våte løssnøskred  (4);NB! Oppdatert varsel: Sol og mildvær kan gi naturlig utløste våte skred. Det blir også lettere å påvirke svake lag. Skred kan bli store.;Wet avalanches can release due to sun and high temperatures. Persistent weak layers buried in the snow will be easier to trigger and can cause large avalanches. Remote triggering is possible.
3;Fg3 (3);Vedvarende svakt lag (3), Våte løssnøskred  (3);Naturlig utløst (6);Ubunden snø (3), Nedsnødd eller nedføyket kantkornet snø (2), Kantkornet snø under skarelag (1);Tørre flakskred (3), Våte løssnøskred  (3);NB!: Oppdatert varsel: Sol og mildvær kan gi naturlig utløste våte flakskred og løssnøskred. Skred kan bli store.;Updated Thursday evening: Wet slab avalanches size 3 and wet loose snow avalanches can trigger naturally due to high temperatures and sun. Avoid avalanche terrain. Remote triggering is possible.
1;Fg3 (1);Vedvarende svakt lag (1), Våte løssnøskred  (1);Naturlig utløst (2);Nedsnødd eller nedføyket kantkornet snø (1), Ubunden snø (1);Tørre flakskred (1), Våte løssnøskred  (1);NB: Oppdatert kveld 11. 4. :Krevende forhold med vedvarende svake lag. Fare for naturlig utløste våte skred. Unngå skredterreng.;Demanding conditions due to a persistant weak layer of facets. There is a risk of naturally released wet avalanches in steep sun exposed terrain. Avoid avalanche terrain.
1;Fg1 (1);Våte løssnøskred  (1);Naturlig utløst (1);Ubunden snø (1);Våte løssnøskred  (1);Nedbør vil øke ustabiliteten i snødekket noe, men det er generelt gunstige forhold. Husk at selv små skred kan være farlige i/ved terrengfeller.;Favorable conditions, despite some precipitation. But remember that small avalanches can be dangerous in terrain traps.
1;Fg4 (1);Fokksnø (1), Vedvarende svakt lag (1);Naturlig utløst (2);Dårlig binding mellom lag i fokksnøen (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (2);Nord i regionen; størst skredfare på natten og på morgenen torsdag. I vest mot Troms (Øksfjordhalvøya/Langfjordbotn) lokalt økende skredfare gjennom dagen.;An increase in wind will lead to a large amount of wind transported snow. Naturally triggered avalanches likely, especially during the thursday night. In west, Øksfjordhalvøya/Langfjordbotn, more precipitation is expected during the day, the avalanche in this part of the region is therefore increasing.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Naturlig utløst (1), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket overflaterim (1);Tørre flakskred (2);Nysnø og kraftig vind vil føre til stor vindtransport av snø inn i leheng. Skred kan utløses både naturlig og av skiløper. Unngå skredterreng vest i regionen.;Precipitation and strong wind will lead to a large amount of wind transported snow. Avoid avalanche terrain. Naturally triggered avalanches likely. Most problematic in the western part of the region.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Naturlig utløst (2);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Nysnø og vind dannar fokksnøflak i leheng, og desse kan ligge over svake lag av kantkorn. Både naturleg utløyste skred og fjernutløysing av flak er mogleg.;Fresh snow and strong winds will form storm slabs. These may rest on persistent weak layers of facets. Both natural avalanches and remote triggering of slabs are possible.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Naturlig utløst (1), Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Nysnø og vind dannar fokksnøflak i leheng, og desse kan ligge på svake lag av kantkorn. Både naturleg utløyste skred og fjernutløysing av flak er mogleg.;Fresh snow and strong winds will form storm slabs. These may rest on persistent weak layers of facets. Both natural avalanches and remote triggering of slabs are possible.
1;Fg3 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (1), Nedsnødd eller nedføyket kantkornet snø (1);Tørre flakskred (2);Nysnø og vind dannar fokksnøflak i leheng, og desse kan ligge på svake lag av kantkorn. Fjernutløysing av flakskred er mogleg.;Fresh snow and strong winds will form storm slabs. These may rest on persistent weak layers of facets. Remote triggering of slabs are possible.
1;Fg2 (1);Nysnøflak (1);Liten tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1);Tørre flakskred (1);Nysnø og vind har danna nysnøflak i høgda, enkelte av dei kan være ustabile.;Locally unstable avalanche conditions. Be cautious in steep terrain, storm slabs can be triggered.
2;Fg3 (2);Fokksnø (2);Liten tilleggsbelastning (2);Nedføyket svakt lag med nysnø (2);Tørre flakskred (2);Nysnø og vind øker skredfaren. Vær svært varsom der snødekket sprekker opp.;Strong winds and new snow will form wind slabs in the alpine. Surface hoar are present and may become a problem.
1;Fg2 (1);Nysnøflak (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Nysnøflak i høyden kan være ustabile. Vær oppmerksom på at det finnes vedvarende svake lag i snødekket i høyden.;Be careful of recently loaded storm slabs in higher altitudes. A persistent weak layer of facets may be triggered where the snow cover is thin, especially in higher altitudes.
2;Fg3 (1), Fg2 (1);Nysnøflak (2), Vedvarende svakt lag (2);Liten tilleggsbelastning (4);Nedføyket svakt lag med nysnø (2), Nedsnødd eller nedføyket kantkornet snø (2);Tørre flakskred (4);Nysnøflak kan ligge på svake lag eller hard overflate. Svake lag i snødekket kan også påverkast, særleg der snødekket er tynt.;Newly formed windslabs may have poor bindings to the underlying crust or be on top of surface hoar or near surface faceted snow. Persistent weak layers can be affected, espacially where the snowcover is thin.
5;Fg3 (5);Våte flakskred (5), Vedvarende svakt lag (5), Nysnøflak (4), Fokksnø (1);Liten tilleggsbelastning (7), Naturlig utløst (5), Stor tilleggsbelastning (3);Opphopning av vann i/over lag i snødekket (5), Nedføyket svakt lag med nysnø (5), Nedsnødd eller nedføyket kantkornet snø (5);Tørre flakskred (10), Våte flakskred (5);Nysnøflak og svake lag i snødekket kan påverkast. Våte skred kan forekomme under mildværsgrensa.;Newly formed windslabs and persistant weak layers can be triggered. Wet avalanches can occur.
4;Fg2 (4);Vedvarende svakt lag (4), Nysnøflak (3), Fokksnø (1);Liten tilleggsbelastning (4), Stor tilleggsbelastning (4);Nedføyket svakt lag med nysnø (4), Kantkornet snø under skarelag (4);Tørre flakskred (8);Nysnøflak over mildværsgrensen kan være ustabile. Vær oppmerksom på at det finnes vedvarende svake lag i snødekket i høyden.;Locally unstable avalanche conditions in the alpine. Be careful of recently loaded storm slabs. A persistent weak layer of facets may be triggered where the snow cover is thin, especially at higher altitudes.
1;Fg2 (1);Fokksnø (1), Vedvarende svakt lag (1);Liten tilleggsbelastning (1), Stor tilleggsbelastning (1);Nedføyket svakt lag med nysnø (1), Kantkornet snø under skarelag (1);Tørre flakskred (2);Nysnøflak over mildværsgrensen kan være ustabile. Vær oppmerksom på at det finnes vedvarende svake lag i snødekket.;Locally unstable avalanche conditions in the alpine. Be careful of recently loaded storm slabs. A persistent weak layer of facets may be triggered where the snow cover is thin, especially at higher altitudes.
8;Fg3 (7), Fg4 (1);Våte løssnøskred  (7), Vedvarende svakt lag (5), Våte flakskred (3);Naturlig utløst (15);Ubunden snø (7), Kantkornet snø under skarelag (6), Nedsnødd eller nedføyket kantkornet snø (2);Våte løssnøskred  (7), Tørre flakskred (5), Våte flakskred (3);Når mildværet klarer å trenge ned til de dype vedvarende svake lagene kan det gå store naturlige utløste skred. Hold avstand til bratt terreng og utløpssoner.;Wet avalanches can release due to rain and high temperatures. Persistent weak layers buried in the snow can be naturally triggered and cause medium large avalanches. Keep good distance to avalanche terrain and run out zones for wet avalanches.
6;Fg4 (6);Våte flakskred (6);Naturlig utløst (6);Nedsnødd eller nedføyket kantkornet snø (4), Kantkornet snø under skarelag (2);Våte flakskred (6);Når regnet trenger ned til de dype vedvarende svake lagene vil det gå store naturlige utløste skred. Hold avstand til bratt terreng og utløpssoner.;Expect wet avalanches due to rain and high temperatures. There are well-defined persistent weak layers buried in the snowpack that can cause large avalanches. Keep good distance to avalanche terrain and run out zones for wet avalanches.
