Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Lokalt ustabile nysnøflak kan ligge på et rimlag i leområder. Vedvarende svakt lag med kantkorn kan påvirkes der snødekket er tynt.	Avoid areas with fresh storm slabs. A weak layer of buried surface hoar may be present under the storm slabs at higher elevations.  Also, a persistent weak layer of facets may be triggered, especially where the snow cover is thin.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Lokalt ustabilt. Vær forsiktig i leområder og andre terrengformasjoner som har mye nysnø/fokksnø.	Locally unstable conditions. Avoid areas with fresh wind deposited snow, typically behind ridges, ribs and in gullies.
7	Fg3 (6), Fg2 (1)	Fokksnø (7), Våt snø (1)	Lag med løs nysnø (7), Regn/temperaturstigning (1)	Tørre flakskred (7), Våte løssnøskred (1)	Lokalt ustabilt. Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø.	Locally unstable conditions. Avoid areas with fresh wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Lokalt ustabilt. Vær forsiktig i leområder og andre terrengformasjoner som har samlet snø, stedvis kan det ligge rim under fokksnøen.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Buried surface hoar is a problem in some locations.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Lokalt utabile fokksnøflak i leområder. Svake lag med kantkorn og rim kan påvirkes der snødekket er tynt.	Dangerous avalanche conditions. A weak layer of  facets or surface hoar may be covered by wind slabs. Conditions will vary due to snow showers of varying intensity.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Kantkornet under skaren (1)	Våte flakskred (1), Våte løssnøskred (1)	Mangel på nattefrost og påfølgende milde temperaturer øker faren for våte skred.	Wet snow through the night and higt temperature at daytime elevates the danger of wet avalanches.
2	Fg2 (2)	Vedvarende svakt lag (2), Våt snø (2)	Regn/temperaturstigning (2), Kantkornet under skaren (2)	Våte flakskred (2), Våte løssnøskred (2)	Mangel på nattefrost og påfølgende milde temperaturer og sol, øker faren for våte skred. Fokksnø er et problem i høyden.	High temperature elevates the danger of wet avalanches. Be careful with recently formed wind slabs at high elevations. Its time to switch to spring mode and remember to use slightly different approaches on wet and dry snow.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Meir snø og vind. Skred kan løysast ut både naturleg og av skiløpar. Unngå leområde kor det samlar seg fersk fokksnø.	Wind and fresh snow may give instable conditions. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Avoid especially convex terrain.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Meir snø-og mildvr i låglandet. Skred kan løysast ut både naturleg og av skiløpar. Unngå leområde kor det samlar seg fersk fokksnø.	Warm temperatures, wind and fresh snow may give instable conditions in some slopes. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Especially where the wind deposited slabs are thin or soft, a slab avalanche is easier to trigger here. Avoid especially convex terrain.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Meldt kraftig vind har begrensa med snø tilgjengelig å flytte på grunna ganske hard snøoverflate. Kraftig vind gjennom heile torsdagen vil gi såpass store mengd.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Mer vind og snø gir ustabile forhold. Vær forsiktig i leformasjoner i terrenget som har samlet fokksnø. Våte snøskred kan forekomme i lavlandet.	More wind and snow lead to generally unstable conditions. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Wet avalanches may occur in lower areas.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Snødekket er overmettet av vann (1)	Tørre flakskred (1), Våte løssnøskred (1)	Mer vind, snø og snøbyger gir ustabile forhold. Vær forsiktig i leformasjoner i terrenget som har samlet fokksnø. Våte snøskred kan forekomme i lavlandet.	More wind and snow lead to generally unstable conditions. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Wet avalanches may occur in lower areas.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Kantkornet over skaren (1)	Våte flakskred (1), Våte løssnøskred (1)	Mildvær fører til nø økende skredfare. Gamle svake lag kan vekkes til live. I høyden kan lommer av fokksnø ha dårlige bindinger mot skare.	Generally safe avalanche conditions. Isolateted terrain feature may hold unstable wind slabs. A weak layer is still luming deep in the snow pack, but is not reactive. But if it døs become active, danger will incease rapidly.
2	Fg3 (2)	Vedvarende svakt lag (2), Våt snø (2)	Regn/temperaturstigning (2), Lag med kantkornet snø (1), Kantkornet over skaren (1)	Våte løssnøskred (2), Tørre flakskred (1), Våte flakskred (1)	Mildvær fører til økende skredfare. Flak av ustabil fokksnø i høyden. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred.	Increasing temperatures leads to higher avalanche danger. Isolated terrain feature may hold unstable wind slabs. A weak layer deep in the snow pack can now become more active.
8	Fg3 (6), Fg2 (2)	Vedvarende svakt lag (8), Våt snø (8)	Regn/temperaturstigning (8), Kantkornet over skaren (5), Kantkornet under skaren (3)	Våte flakskred (11), Våte løssnøskred (3), Tørre flakskred (2)	Mildvær fører til økende skredfare. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred.	Increasing temperatures leads to higher avalanche danger. Isolated terrain feature may hold unstable wind slabs. A weak layer deep in the snow pack can now become more active.
2	Fg1 (2)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Mildvær og generelt lite snø i lavlandet, men i høyden der det kommer nysnø kan små flak av fokksnø skli ut i isolerte heng.	Not much snow and generally safe conditions, but be aware that smaller slabs of wind deposited snow can be triggered in isolated features at higher elevations.
3	Fg2 (3)	Vedvarende svakt lag (3), Våt snø (3)	Regn/temperaturstigning (3), Kantkornet over skaren (3)	Våte flakskred (3), Våte løssnøskred (3)	Mildvær og regn gir lokalt ustabile forhold.	Warm air and rain gives locally unstable conditions.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2), Lag med overflaterim (2)	Tørre flakskred (4), Våte flakskred (2)	Mildvær og regn høyt til fjells gir økt fare for naturlige våte flakskred. Unngå bratt terreng! I høyfjellet vil fersk fokksnø være skredproblemet.	Rising temperatures and rain will give risk of natural wet slab avalanches. Avoid areas with fresh windslabs in the higher areas.
2	Fg4 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Mildvr, vind og mykje nedbør fører til auka skredfare. Unngå opphald i skredterreng. Nokre vegstrekningar kan være utsett.	Rising temperatures, wind and heavy precipitation will lead to increased avalanche hazard. Stay away from all avalanche terrain. Some roads might be vulnerable.
1	Fg4 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Mildvr, vind og mykje nedbør fører til stor skredfare. Unngå opphald i utsett skredterreng. Nokre vegstrekningar kan g være utsett.	Rising temperatures, wind and heavy precipitation will lead to high avalanche hazard. Stay away from all avalanche terrain. Some roads might be vulnerable.
1	Fg4 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Mildvr, vind og mykje nedbør fører til stor skredfare. Unngå opphald i utsett skredterreng. Nokre vegstrekningar kan g vere utsett.	Rising temperatures, wind and heavy precipitation will lead to high avalanche hazard. Stay away from exposed avalanche terrain. Some roads might be vulnerable.
1	Fg1 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Mindre flak av fokksnø i isolerte heng kan utløses, ellers hard snøoverflate. Skredproblemet vil være mest framtredende der det er mest snø.	Smaller slabs of wind deposited snow can be triggered in isolated features. The avalanche problem is most present in the southern part of the region.
1	Fg1 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Mindre flak av fokksnø i kan utløses enkelte steder. Utbredelsen av skredproblemene er begrenset da det generelt er lite snø i fjellet.	Smaller slabs of wind deposited snow can be triggered in isolated features.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Mindre flak av fokksnø kan utløses enkelte steder. Utbredelsen av skredproblemene er begrenset da det generelt er lite snø i fjellet.	Smaller slabs of wind deposited snow can be triggered in isolated features.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Moderat til svake bindinger i mange brattheng pga. ferske nysnøflak i fjellet. Vurder terrenget rundt deg, unngå terrengfeller.	Moderate to poor bondings on many steep slopes. Be careful with storm slabs around and above treeline. Avoid terrain traps.
1	Fg3 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Moderat til svake bindinger i mange brattheng. Krevende forhold i fjellet pga. fersk fokksnø.	The avalanche danger persists with ongoing precipitation and wind. Widespread instability in storm slabs above treeline. We expect the avalanche danger to decrease towards the evening.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Moderate forhold, med store lokale forskjeller. Vær særlig varsom i områder som har samlet fokksnø.	Moderate conditions. Use caution in areas with wind slabs. Reports of buried surface hoar layer been triggered with compression test, but no avalanche activity regarding this layer.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Moderate til svake bindinger i mange brattheng. Unngå lesider med fersk fokksnø.	Moderate to poor bonded on on many steep slopes. Be careful with storm slabs around and above treeline.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Mulig å trigge skred ved stor tilleggsbelastning, både i fokksnø og i vedvarende svakt lag under fokksnøen.	Avalanches may be triggered with a large additional load. There are weak layers in the snowpack.
2	Fg2 (2)	Vedvarende svakt lag (2), Våt snø (2)	Regn/temperaturstigning (2), Kantkornet over skaren (2)	Tørre flakskred (2), Våte løssnøskred (2)	Mulighet for enkelte små våte skred i bratt terreng. Uviss tilstedeværelse av svake lag i høyden.	Small wet avalanches are still possible in steep terrain. Uncertain if weak layers survived the warm spell in the alpine. It might be possible to trigger larger avalanches at higher elevations.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Mulighet for naturlig utløste skred grunnet store nedbørsmengder.	Natural triggered avalanches possible due to high amounts of snowfall.
2	Fg3 (2)	Fokksnø (2), Nysnø (2)	Lag med løs nysnø (2), Ubundet løs snø (2)	Tørre flakskred (2), Tørre løssnøskred (2)	Mulighet for naturlig utløste snøskred grunnet lokalt store nedbørsmengder. Skikjører kan forvente å løse ut snøskred.	Nataural avalanches possible. Be aware of large local differences in amount of snowfall. The precipitation will occur as showers. Skier triggered avalanches are likely.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Mulighet for naturlig utløste snøskred søndag ettermiddag grunnet rask temperaturstigning og nedbør som regn.	Nataural avalanches possible Sunday afternoon due to a temperature increase and percipitation as rain.
6	Fg2 (6)	Vedvarende svakt lag (6)	Lag med overflaterim (6)	Tørre flakskred (6)	Mulighet for overflaterim som snør ned. Dette kan gi lokalt ustabile forhold.	Mainly stable snow conditions. Possible surface hoar burried by new snow during the day. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg4 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Mulighet for store nysnømengder i kombinasjon med kraftig vind gjør at naturlig utløste snøskred er mulig. NB usikkerhet i nedbørsmengdene!	Changes of large snowfall in combination with wind leads to likelihood of naturally triggered avalanches. Avoid all avalanche terrain. Uncertainties in amount of percipitation due to percipitation as showers.
1	Fg4 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	NB! Mulighet for store nedbørsmengder fredag formiddag og ettermiddag i sørlige og vestlige deler av varslingsområdet.	Possibility of large amounts of percipitation in southern and western part of the region. Rain at lower altitudes may result in wet avalanche activity. A large amount of snow has been accumulated in the mountains. Avoid avalanche terrain. Natural triggered avalanches possible.
1	Fg4 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	NB! Oppdatert varsel fredag kl 1815: Temperaturstigning og regn fører til økt sannsynlighet for naturlig utløste snøskred. Faregrad 4-stor.	Uodated bulletin Friday at 1815: A temperature increase and percipitation as rain leads to likelihood of natural avalanches.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Natt til lørdag vil skredfaren opprettholdes på et høyere nivå-det vil være mulighet for naturlig utløste skred. Avtakende skredfare for lørdag ettermiddag.	A wind increase from Friday evening till Saturday morning will maintain the avalanche danger at a higher level. Calmer weather for Saturday afternoon will lower the risk of avalanches.
2	Fg4 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Naturlig utløste snøskred sannsynlig natt til mandag. Synkende skredfare mandag.	Natural triggered avalanches are likely untill Monday morning. Lower temperatures will stabilize the snow, but a high amount of percipitation Monday in combination with wind will result in unstable slabs of wind deposited snow.
3	Fg4 (3)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte flakskred (3)	Naturlig utløste snøskred sannsynlig. kende snøskredfare søndag ettermiddag grunnet rask temperaturstigning og nedbør som regn.	Natural triggered avalanches are likely. Increasing danger level Sunday afternoon due to higher temperatures and percipitation as rain.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Nedbør i kombinasjon med vind vil føre til dannelse av flak av fokksnø i leheng, typisk bak rygger og i forsenkninger.	Percipitation in combination with wind will lead to wind slabs in leeward slopes.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Nedbør i kombinasjon med vind vil føre til ustabile fokksnøansamlinger. Unngå leområder.	Snowfall in combination with wind will result in unstable slabs of wind deposited snow. Avoid wind slabs.
10	Fg1 (10)	Fokksnø (8)	Lag med løs nysnø (6), I fokksnøen (2)	Tørre flakskred (8)	Nysnø i anmarsj, men stort sett stabile forhold.	Small storm slabs in isolated areas around the highest peaks. Generally little snow in the area, and the present snow is mostly stable.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Nysnø i vest. Vær forsiktig i eller nært terrengfeller til nysnøen har stabilisert seg. Selv små skred kan dra en skiløper over ende.	Snowfall in western Trollheimen. Be careful in and close to terrain traps until the new snow has stabilized. Even small avalanches can be dangerous in these areas.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Nysnø i vest. Ver forsiktig i eller nært terrengfeller til nysnøen har stabilisert seg. Sjølv små skred kan dra ein skiløper over ende.	Snowfall in western Trollheimen. Be careful in and close to terrain traps until the new snow has stabilized. Even small avalanches can be dangerous in these areas.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Nysnø og kraftig vind skaper ustabile flak i av fokksnø i fjellet.	Storm and wind slabs in the alpine cause unstable conditions. In isolated pockets above 800 m.a.s.l. surface hoar might have survived the strong winds and got buried.
3	Fg2 (3)	Fokksnø (3)	Lag med løs nysnø (3)	Tørre flakskred (3)	Nysnø og skiftende bris på lørdag. Vær forsiktig i terrengfeller og i bratte heng til nysnøen har stabilisert seg.	Snowfall and breeze on Saturday. Be careful in and close to terrain traps and on steep slopes until the new snow has stabilized.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Nysnø og skiftende vindforhold på lørdag. Vær forsiktig i terrengfeller og i bratte heng til nysnøen har stabilisert seg.	Snowfall and shifting wind on Saturday. Be careful in and close to terrain traps and on steep slopes until the new snow has stabilized.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Nysnø og vind fører til økt faregrad i vestlige deler av regionen.	The avalanche danger will increase Sunday due to increased precipitation and wind in western parts of the region. Avoid terrain traps and large steep slopes until the new snow has stabilized.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Nysnø og vind gir betydelig skredfare i høyden. Enkelte våte snøskred kan fortsatt forekomme i lavereliggende områder.	Unstable wind slabs cause considerable avalanche danger in the alpine. Skiers should be very cautious. Smaller wet avalanches are still possible at lower elevations.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Nysnø og vind gir betydelig skredfare i høyden. Enkelte våte snøskred kan fortsatt forekomme også i lavereliggende områder.	Unstable wind slabs cause considerable avalanche danger in the alpine. Skiers should be very cautious. Smaller wet avalanches are still possible at lower elevations.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Nysnø og vind har dannet tynne ustabile flak av fokksnø i høyden mot kvelden. Ellers gunstige forhold.	With strong winds and new snow we see small wind-slabs in the Alpine. At lower altitudes we see favorable conditions.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Nysnø og vind kan gi ustabile forhold. Vær forsiktig i leområde og andre terrengformasjonar som har samla fokksnø.	Fresh snow and wind. Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
4	Fg2 (4)	Fokksnø (4)	I fokksnøen (4)	Tørre flakskred (4)	Nysnø og vind kan skape ustabile forhold i høyfjellet. Mer stabile forhold i ytre og lavereliggende deler av regionen.	Storm and wind slabs in the alpine can give unstable conditions.
20	Fg2 (16), Fg3 (4)	Vedvarende svakt lag (18), Fokksnø (16)	I fokksnøen (14), Kantkornet under skaren (11), Lag med overflaterim (7), Lag med løs nysnø (2)	Tørre flakskred (34)	Nysnø og vind skaper ustabile forhold i høyfjellet.	Storm and wind slabs in the alpine cause unstable conditions.
2	Fg2 (2)	Vedvarende svakt lag (2)	Kantkornet under skaren (2)	Tørre flakskred (2)	Nysnø og vind skaper ustabile forhold i høyfjellet. Mer stabile forhold i ytre og lavereliggende deler av regionen.	Storm and wind slabs in the alpine cause unstable conditions.
2	Fg2 (2)	Fokksnø (2), Våt snø (1)	Lag med løs nysnø (2), Gjennomfuktet fra bakken (1)	Tørre flakskred (2), Våte flakskred (1)	Nysnøen sammen med vind fra SV-V kan danne myke flak av fokksnø. Vær også oppmerksom på at skred fra vått snødekke på glatt underlag kan forekomme.	Fresh snow and western winds may form unstable soft slabs. Note also that Avalanches from wet snow on slippery bedrock surfaces may occur.
2	Fg4 (2)	Fokksnø (2), Våt snø (1)	Lag med løs nysnø (2), Regn/temperaturstigning (1)	Tørre flakskred (2), Våte flakskred (1)	Nytt stort snøfall i delar av regionen. Hald deg som skiløpar/skuterkjørar unna alt skredterreng. Enkelte vegstrekningar kan være utsette.	More heavy snowfall in parts of the region. Stay away from all avalanche terrain as a skier/snowmobiler. Some roads might be vulnerable
1	Fg4 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	OPPDATERT: Hold deg som skiløper/skuterkjører unna alt skredterreng. Enkelte vegstrekninger kan være utsatt.	UPDATE: Stay away from all avalanche terrain as a skier/snowmobiler. Some roads might be vulnerable.
6	Fg4 (6)	Fokksnø (6)	Lag med løs nysnø (6)	Tørre flakskred (6)	Omfattende ustabile forhold pga. store nysnø mengder og vind. Naturlig utløste skred forventes. Unngå skredterreng.	Very dangerous avalanche conditions. Natural avalanches likely. Avoid avalanche terrain.
1	Fg4 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Omfattende ustabile forhold pga. store nysnømengder og vind. Naturlig utløste skred forventes. Unngå skredterreng.	Dangerous avalanche conditions due to large amounts of new snow and strong winds. Natural avalanches likely. Avoid avalanche terrain.
1	Fg4 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Omfattende ustabile forhold pga. store nysnømengder og vind. Naturlige skred forventes. Unngå skredterreng.	Natural avalanches are likely. Avoid avalanche terrain.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Omfattende ustabile forhold pga. store nysnømengder og vind. Unngå skredterreng.	Dangerous avalanche conditions due to large amounts of new snow and strong winds. Avoid avalanche terrain.
1	Fg4 (1)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Omfattende ustabile forhold pga. store nysnømengder og vind. Unngå skredterreng. Mulig med naturlig utløste skred.	Dangerous avalanche conditions due to large amounts of new snow and strong winds. Natural avalanches are possible. Avoid avalanche terrain.
1	Fg4 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Omfattende ustabile forhold. Mange middels store og nøn store naturlig utløste skred forventes. Hold avstand fra utløsnings-og utløpsområder for snøskred.	Very dangerous avalanche conditions. Travel in avalanche terrain not recommended. We expect intense wet slab activity around and below treeline. Wind slabs can be easily triggered in the alpine.
2	Fg3 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Oppdatering mandag: Kraftig vind i høyden danner ferske flak som kan lett løses ut. Faregrad 3-betydelig opprettholdes.	Update monday: Strong winds in the alpine create fresh wind slab. Still considerable avalanche danger.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (2)	Tørre flakskred (2)	Oppdatert tirsdag kl. 10. Moderate forhold. Vær varsom i områder som har samlet fersk fokksnø.	Moderate danger. Use caution on freshly loaded slopes. Some unstable areas due to  a weak layer of surface hoar.
1	Fg4 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Oppjustert til 4-stor snøskredfare pga mye mer snø enn ventet, Krevende forhold. Vær varsom i områder med lokalt store nysnøflak.	Upgraded to 4-high due to much more snow than expected. Challenging conditions. Use caution in areas where storm slabs has formed. A layer facets and and a layer of depth hoar lurk in the snowpack, but not a big issue at the moment.
2	Fg2 (2)	Våt snø (2)	Regn/temperaturstigning (2)	Våte løssnøskred (2)	Oppvarming av snødekket kan gi naturlig utløste skred.	Warm temperatures will increase risk of natural triggered avalanches.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte flakskred (1)	Over ca 1000 moh forventes det ustabile flak av fokksnø i leheng.	Risk of wind-deposited snow above 1000 masl.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Glatt skare (1)	Tørre flakskred (1), Våte løssnøskred (1)	Over ca 1100 moh forventes det ustabil fersk fokksnø. Regn gir fare for våte skred i lavlandet.	Risk of wind-deposited snow above 1100 masl. Rain give increased danger of wet avalanches at lower altitudes.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Glatt skare (1)	Tørre flakskred (1), Våte løssnøskred (1)	Over ca 1200 moh forventes det ustabil fersk fokksnø. Temperaturstigning og regn gir fare for mindre våte skred i lavlandet.	Risk of wind-deposited snow above 1200 masl. Temperature rise and rain give increased danger of wet avalanches at lower altitudes.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Over ca 1300 moh forventes det ustabil fersk fokksnø. Temperaturstigning og solinnstråling gir fare for våte skred i lavlandet.	Risk of wind-deposited snow above 1300 masl. Temperature rise and solar radiation  give increased danger of wet avalanches at lower altitudes.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Glatt skare (1)	Tørre flakskred (1), Våte løssnøskred (1)	Over ca 1400 moh forventes ustabil fersk fokksnø. Temperaturstigning og regn gir fare for mindre våte skred i lavlandet.	Risk of wind-deposited snow above 1400 masl. Temperature rise and rain give increased danger of wet avalanches at lower altitudes.
3	Fg3 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Polart lavtrykk kan gi store lokale forskjeller i nysnømengde. Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø i høyden.	Polar low may cause large local differences in precipitation and wind. Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
5	Fg3 (5)	Vedvarende svakt lag (5), Fokksnø (5)	Lag med løs nysnø (5), Kantkornet over skaren (4), Kantkornet ved bakken (1)	Tørre flakskred (5), Våte flakskred (5)	Regn fører til økende skredfare. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred. Ustabile flak med nysnø i fjellet.	Precipitation as rain leads to higher avalanche danger. A weak layer deep in the snow pack can now become more active. Avoid also fresh stormslabs in the mountains.
2	Fg2 (1), Fg3 (1)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Kantkornet under skaren (2)	Tørre flakskred (2), Våte flakskred (2)	Regn fører til økende skredfare. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred. Ustabile flak med nysnø i høyfjellet.	Precipitation as rain leads to higher avalanche danger. Isolated terrain feature may hold unstable wind slabs. A weak layer deep in the snow pack can now become more active.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Kantkornet under skaren (1)	Tørre flakskred (1), Våte flakskred (1)	Regn fører til økende skredfare. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred. Ustabile nysnø i høyfjellet.	Precipitation as rain leads to higher avalanche danger. Isolated terrain feature may hold unstable wind slabs. A weak layer deep in the snow pack can now become more active.
4	Fg1 (2), Fg2 (2)	Våt snø (4)	Regn/temperaturstigning (4)	Våte løssnøskred (4)	Regn i lavlandet og nysnø i fjellet gir fare for løssnøskred i bratt terreng.	Rain in lower areas and fresh snow in the mountains gives increased danger of avalanches in steep terrain.
5	Fg1 (3), Fg2 (2)	Våt snø (5)	Regn/temperaturstigning (5)	Våte løssnøskred (5)	Regn og milde temperaturer vil kunne resultere i naturlig våt skredaktivitet.	Rain and mild temperatures may result in natural avalanche activity.
